->> 2015-01-02 05:17:21pm Added a new Switch with the name 12
->> 2015-01-02 05:29:21pm Changed detail from switch12
->> 2015-01-02 05:55:54pm enabled Switch 
->> 2015-01-02 06:25:19pm enabled Switch 
->> 2015-01-02 06:25:48pm enabled Switch 
->> 2015-01-02 06:26:33pm enabled Switch 
->> 2015-01-02 06:26:48pm enabled Switch 
->> 2015-01-02 06:26:53pm enabled Switch 123
->> 2015-01-02 06:28:55pm enabled Switch 123
->> 2015-01-02 06:29:48pm enabled Switch 
->> 2015-01-02 06:30:37pm enabled Switch 
->> 2015-01-02 06:31:47pm enabled Switch 123
->> 2015-01-02 06:32:10pm enabled Switch 123
->> 2015-01-02 06:32:11pm enabled Switch 123
->> 2015-01-02 06:32:11pm enabled Switch 123
->> 2015-01-02 06:32:11pm enabled Switch 123
->> 2015-01-02 06:32:11pm enabled Switch 123
->> 2015-01-02 06:32:11pm enabled Switch 123
->> 2015-01-02 06:32:12pm enabled Switch 123
->> 2015-01-02 06:32:12pm enabled Switch 123
->> 2015-01-02 06:32:12pm enabled Switch 123
->> 2015-01-02 06:32:13pm enabled Switch 123
->> 2015-01-02 06:32:13pm enabled Switch 123
->> 2015-01-02 06:32:13pm enabled Switch 123
->> 2015-01-02 06:32:13pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:14pm enabled Switch 123
->> 2015-01-02 06:32:15pm enabled Switch 123
->> 2015-01-02 06:32:15pm enabled Switch 123
->> 2015-01-02 06:32:15pm enabled Switch 123
->> 2015-01-02 06:32:15pm enabled Switch 123
->> 2015-01-02 06:32:15pm enabled Switch 123
->> 2015-01-02 06:32:16pm enabled Switch 123
->> 2015-01-02 06:32:16pm enabled Switch 123
->> 2015-01-02 06:32:16pm enabled Switch 123
->> 2015-01-02 06:32:16pm enabled Switch 123
->> 2015-01-02 06:32:16pm enabled Switch 123
->> 2015-01-02 06:32:17pm enabled Switch 123
->> 2015-01-02 06:32:17pm enabled Switch 123
->> 2015-01-02 06:32:17pm enabled Switch 123
->> 2015-01-02 06:32:17pm enabled Switch 123
->> 2015-01-02 06:32:18pm enabled Switch 123
->> 2015-01-02 06:32:18pm enabled Switch 123
->> 2015-01-02 06:32:18pm enabled Switch 123
->> 2015-01-02 06:32:18pm enabled Switch 123
->> 2015-01-02 06:32:19pm enabled Switch 123
->> 2015-01-02 06:32:19pm enabled Switch 123
->> 2015-01-02 06:32:19pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 06:32:20pm enabled Switch 123
->> 2015-01-02 07:04:30pm enabled Switch 123
->> 2015-01-02 07:04:42pm enabled Switch 123
->> 2015-01-02 07:04:48pm enabled Switch 123
->> 2015-01-02 07:04:49pm enabled Switch 123
->> 2015-01-02 07:04:49pm enabled Switch 123
->> 2015-01-02 07:04:49pm enabled Switch 123
->> 2015-01-02 07:04:49pm enabled Switch 123
->> 2015-01-02 07:04:50pm enabled Switch 123
->> 2015-01-02 07:04:50pm enabled Switch 123
->> 2015-01-02 07:04:50pm enabled Switch 123
->> 2015-01-02 07:04:50pm enabled Switch 123
->> 2015-01-02 07:04:50pm enabled Switch 123
->> 2015-01-02 07:04:51pm enabled Switch 123
->> 2015-01-02 07:04:51pm enabled Switch 123
->> 2015-01-02 07:04:51pm enabled Switch 123
->> 2015-01-02 07:04:51pm enabled Switch 123
->> 2015-01-02 07:04:51pm enabled Switch 123
->> 2015-01-02 07:04:52pm enabled Switch 123
->> 2015-01-02 07:04:52pm enabled Switch 123
->> 2015-01-02 07:04:53pm enabled Switch 123
->> 2015-01-02 07:04:53pm enabled Switch 123
->> 2015-01-02 07:04:53pm enabled Switch 123
->> 2015-01-02 07:04:54pm enabled Switch 123
->> 2015-01-02 07:05:07pm enabled Switch 123
->> 2015-01-02 07:06:49pm enabled Switch 123
->> 2015-01-02 07:09:57pm enabled Switch 123
->> 2015-01-02 07:10:02pm enabled Switch 123
->> 2015-01-02 07:10:04pm enabled Switch 123
->> 2015-01-02 07:10:04pm enabled Switch 123
->> 2015-01-02 07:10:12pm enabled Switch 123
->> 2015-01-02 07:11:16pm enabled Switch 123
->> 2015-01-02 07:11:17pm enabled Switch 123
->> 2015-01-02 07:11:18pm enabled Switch 123
->> 2015-01-02 07:11:39pm enabled Switch 123
->> 2015-01-02 07:11:51pm enabled Switch 123
->> 2015-01-02 07:11:51pm enabled Switch 123
->> 2015-01-02 07:13:04pm enabled Switch 123
->> 2015-01-02 07:15:12pm disabled Switch 123
->> 2015-01-02 07:17:40pm enabled Switch 123
->> 2015-01-03 08:59:06pm Changed detail from switch123
->> 2015-01-03 08:59:39pm disabled Switch 1234
->> 2015-01-03 08:59:45pm enabled Switch 1234
->> 2015-01-03 09:08:51pm disabled Switch 1234
->> 2015-01-03 09:08:56pm enabled Switch 1234
